LICENCE,NAME,MAILING_ADDRESS,BUSINESS_ID,CIVIC_ADDRESS,LICENCE_YEAR,APPLICATION_DATE,X,Y,DESCRIPTION,STATUS,LICENCE_DESC,LEGAL_ID,STREET,YEAR,GISLINK
100,A & B NORTHWEST GAS SERVICES,,BLBUS-0914020400000001,4056 GRANGE ROAD,2005,2005-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,REPAIR SERVICE,1819991012095436460000,GRANGE RD,,007-565-828
1000,"DALLAS SOCIETY, THE",,BLBUS-0914020400000901,"304 1095 MCKENZIE AVENUE
VICTORIA   BC
V8P 2L5",2005,2005-01-01-00.00.00.000000,,,REGISTERED SOCIETY,APPROVED,NOT APPLICABLE,BLBUSA-62-3251-002304,MCKENZIE AVE,,000-170-305
10000,ARGOSY COMMUNICATION PRODUCTS LTD,,23542C090401092735400000,"407 1095 MCKENZIE AVE
VICTORIA BC  V8P 2L5  (Alias or unit within)
1095 MCKENZIE AVE
VICTORIA   BC   V8P 2L5",2011,2011-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,WATKINS PRODUCTS,931620040116133207930000,MCKENZIE AVE,,000-170-305
10001,"JEAN-PAUL THUOT, RAC",,23542C090401094042850000,"216 3930 SHELBOURNE ST
VICTORIA BC  V8P 5P6  (Alias or unit within)
3930 SHELBOURNE ST
VICTORIA   BC   V8P 5P6",2010,2010-01-01-00.00.00.000000,,,THERAPIST,APPROVED,NOT APPLICABLE,BLBUSA-60-1209-010216,SHELBOURNE ST,,003-332-276
10002,SHORELINE ROOFING,,23542C090401094416360000,"565 LEASIDE AVE
VICTORIA BC  V8Z 2K9",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,ROOFING,1819991012102339640000,LEASIDE AVE,,006-454-542
10003,SUMMIT SIGNS LTD,,24807C090402114828110000,"9 755 VANALMAN AVE
VICTORIA BC  V8Z 3B8",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,INSTALLATIONS,1819991012103558330000,VANALMAN AVE,,VIS1642
10004,PEBBLE CREEK DESIGN,,24807C090402131848230000,"400 777 ROYAL OAK DR
VICTORIA BC  V8X 4V1  (Alias or unit within)
777 ROYAL OAK DR
VICTORIA   BC   V8X 4V1",2011,2011-01-01-00.00.00.000000,,,RETAIL SALES,APPROVED,FURNITURE,BLBUSA-47-0575-110400,ROYAL OAK DR,,017-632-641
10005,APPLIED POLARIMETRIC SOLUTIONS LTD,,25579C090403091018000000,"2103D 4464 MARKHAM ST
VICTORIA BC  V8Z 7X8  (Alias or unit within)
4464 MARKHAM ST
VICTORIA   BC   V8Z 7X8",2010,2010-01-01-00.00.00.000000,,,COMPUTER PROGRAMMING,APPROVED,NOT APPLICABLE,795320031223125510790000,MARKHAM ST,,024-387-258
10006,EXOTIC STONE LTD,,25579C090403091612850000,"3325 OAK ST
VICTORIA BC  V8X 1P9",2009,2009-04-03-00.00.00.000000,,,MANUFACTURING,REJECTED,NOT APPLICABLE,1819991012131649670000,OAK ST,,000-084-956
10007,HOMEWOOD CONSTRUCTORS LTD,,28603C090408092125910000,"160 4396 WEST SAANICH RD
VICTORIA BC  V8Z 3E9  (Alias or unit within)
4396 WEST SAANICH RD
VICTORIA   BC   V8Z 3E9",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,GENERAL CONTRACTOR,90054C091124110258020000,WEST SAANICH RD,,027-329-348
10008,KNIT PEARL,,28603C090408092538200000,"1537 GRANADA CRES
VICTORIA BC  V8N 2B8",2010,2010-01-01-00.00.00.000000,,,HOME CRAFTS,APPROVED,NOT APPLICABLE,1819991012105102790000,GRANADA CRES,,000-171-204
10009,KAREEN RUSTERHOLZ,,28603C090408093033350000,"3440 CEDAR HILL RD
VICTORIA BC  V8P 3Z1",2010,2010-01-01-00.00.00.000000,,,ADMINISTRATION OFFICE,TRANSFERRED,NOT APPLICABLE,1819991012121754560000,CEDAR HILL RD,,000-183-512
1001,"DALLAS SOCIETY, THE",,BLBUS-0914020400000902,"309 1095 MCKENZIE AVENUE
VICTORIA   BC
V8P 2L5",2006,2006-01-01-00.00.00.000000,,,REGISTERED SOCIETY,APPROVED,NOT APPLICABLE,BLBUSA-62-3251-002309,MCKENZIE AVE,,000-170-305
10010,VIVITRO LABS INC,,28603C090408093436990000,"5 555 ARDERSIER RD
VICTORIA BC  V8Z 1C8  (Alias or unit within)
555 ARDERSIER RD
VICTORIA   BC   V8Z 1C8",2012,2012-01-01-00.00.00.000000,,,MANUFACTURING,TRANSFERRED,NOT APPLICABLE,45419991117115003230000,BOLESKINE RD,,006-450-539
10011,WANDA HAIR AND MAKEUP ARTIST,,28603C090408093852440000,"1265 DUNSTERVILLE AVE
VICTORIA BC  V8Z 2W9",2012,2012-01-01-00.00.00.000000,,,HAIRDRESSER/BARBER,APPROVED,NOT APPLICABLE,1819991012100316880000,DUNSTERVILLE AVE,,007-584-075
10012,HOMEPORT MINISTRIES,,29860C090409101751460000,"1170 CLOVELLY TERR
VICTORIA BC  V8P 1V6",2012,2012-01-01-00.00.00.000000,,,PERSONAL SERVICE,APPROVED,HOME CARE,1819991012120138640000,CLOVELLY TERR,,001-595-873
10013,COLLEEN PORTER GARDENING,,29860C090409102238850000,"80 CREASE AVE
VICTORIA BC  V8Z 1S5",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,GARDENING/LAWNCARE,1819991012122734620000,CREASE AVE,,008-226-059
10014,PHO-EVER RESTAURANT,,32747C090416083435560000,"1669 PEAR ST
VICTORIA BC  V8P 2A5",2012,2012-01-01-00.00.00.000000,,,RESTAURANT,APPROVED,NOT APPLICABLE,1819991012133351780000,PEAR ST,,004-501-527
10015,A PLACE TO GROW LICENCED FAMILY DAYCARE,,32747C090416084007700000,"901 FALMOUTH RD
VICTORIA BC  V8X 3A4",2012,2012-01-01-00.00.00.000000,,,DAY CARE CENTRE,APPROVED,NOT APPLICABLE,1819991012123110260000,FALMOUTH RD,,VIS1378
10016,SUNDANCE PHOTO ARCHIVE SERVICES,,32747C090416090032380000,"4670 KERRYVIEW DR
VICTORIA BC  V9E 1J4",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,PHOTOGRAPHER,1819991012094618840000,KERRYVIEW DR,,000-411-337
10017,VERNON J STOREY,,32747C090416090903690000,"4715 SUNNYMEAD WAY
VICTORIA BC  V8Y 3B7",2012,2012-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,EDUCATIONAL,1819991012152255880000,SUNNYMEAD WAY,,010-983-953
10018,SMART RC,,32747C090416095030500000,"1854 ELMHURST PL
VICTORIA BC  V8N 1R2",2012,2012-01-01-00.00.00.000000,,,SALES/SERVICE,APPROVED,NOT APPLICABLE,1819991012114701590000,ELMHURST PL,,003-527-042
10019,ALEXIS YOBBAGY PHOTOGRAPHY,,32747C090416095614450000,"968 GORGE RD W
VICTORIA BC  V9A 1P1",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,PHOTOGRAPHER,1819991012130312430000,GORGE RD W,,000-651-249
1002,FAMILY MEDICINE CENTRE,,BLBUS-0914020400000903,"306 BURNSIDE RD W
VICTORIA   BC
V8Z 1M1",2010,2010-01-01-00.00.00.000000,,,CLINIC,APPROVED,NOT APPLICABLE,1819991012125356480000,BURNSIDE RD W,,000-133-035
10020,SELECT-A-SNACK,,32747C090416100106630000,"118 900 TOLMIE AVE
VICTORIA BC  V8X 3W6",2010,2010-01-01-00.00.00.000000,,,VENDING MACHINE(S),APPROVED,NOT APPLICABLE,1819991012130806120000,TOLMIE AVE,,VIS904
10021,OKEE DOKEE ICE CREAM,,32747C090416141317780000,"BUSINESS - OUT OF TOWN  (Alias or unit within)
BUSINESS - OUT OF TOWN
",2011,2011-01-01-00.00.00.000000,,,NON-RESIDENT,TRANSFERRED,NOT APPLICABLE,781C20050719114205710000,BUSINESS - OUT OF TOWN,,
10022,ANDY SLYDELLS TOWING,,32747C090416151634670000,"51 DURRANCE RD
VICTORIA BC  V9E 2G5",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,TOWING SERVICE,1819991012150808280000,DURRANCE RD,,003-860-213
10023,MR GREEN THUMB LANDSCAPING AND HAULING,,34617C090420113308720000,"628 BALTIC PL
VICTORIA BC  V8Z 2B1",2011,2011-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,LANDSCAPING,1819991012101554420000,BALTIC PL,,002-627-370
10024,DA VINCI PAINTING,,34617C090420124251980000,"33 4061 LARCHWOOD DR
VICTORIA BC  V8N 4P1",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,PAINTING,548C20050504143656370000,LARCHWOOD DR,,VIS5763
10025,RAJ JANITORIAL SERVICES,,34617C090420124802250000,"564 MOUNTFIELD ST
VICTORIA BC  V8Z 1Y8",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,TRANSFERRED,JANITORIAL,1819991012102520590000,MOUNTFIELD ST,,000-608-564
10026,FREE RUNNING TECHNOLOGIES INC,,34617C090420125256600000,"3910 CHERRILEE CRES
VICTORIA BC  V8N 1R8",2012,2012-01-01-00.00.00.000000,,,CONSULTANT,APPROVED,MORTGAGES,1819991012134126780000,CHERRILEE CRES,,004-774-981
10027,RAINCOAST COMMUNITY REHABILITATION SERVICES INC,,34617C090420150054940000,"334 1095 MCKENZIE AVE
VICTORIA BC  V8P 2L5  (Alias or unit within)
1095 MCKENZIE AVE
VICTORIA   BC   V8P 2L5",2012,2012-01-01-00.00.00.000000,,,HEALTH & FITNESS CENTRE,APPROVED,NOT APPLICABLE,34617C090420145937290000,MCKENZIE AVE,,000-170-305
10028,OUTDOOR ESCAPES LANDSCAPE SOLUTIONS,,35632C090421081607900000,"2 3338 WHITTIER AVE
VICTORIA BC  V8Z 3P9",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,LANDSCAPING,775320030128090350730000,WHITTIER AVE,,VIS5287
10029,ZDM CONSTRUCTION,,35632C090421095453660000,"1082 LODGE AVE
VICTORIA BC  V8X 3A8",2010,2010-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,GENERAL CONTRACTOR,1819991012121212650000,LODGE AVE,,001-781-413
1003,DR GORDON W MACLEOD CHIROPRACTIC CORP,,BLBUS-0914020400000904,"203 3200 SHELBOURNE STREET
VICTORIA   BC
V8P 5G8",2002,2002-01-01-00.00.00.000000,,,CHIROPRACTOR,APPROVED,NOT APPLICABLE,BLBUSA-70-3102-010203,SHELBOURNE ST,,010-793-623
10030,EUGENE'S GREEK RESTAURANT,,37840C090423134324090000,"3 3960 SHELBOURNE ST
VICTORIA BC  V8N 3E2  (Alias or unit within)
3956 SHELBOURNE ST
VICTORIA   BC   V8N 3E2",2012,2012-01-01-00.00.00.000000,,,RESTAURANT,APPROVED,NOT APPLICABLE,919620020418112010020000,SHELBOURNE ST,,002-562-651
10031,SPENCER DIXON RENOVATIONS LTD,,37840C090423135015120000,"4016 MORNINGSIDE CLOSE
VICTORIA BC  V8N 3M2",2011,2011-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,RENOVATIONS,1819991012114750860000,MORNINGSIDE CLOSE,,003-727-483
10032,STRUT THE PUP,,37840C090423135829780000,"3830 EPSOM DR
VICTORIA BC  V8P 3S7",2010,2010-01-01-00.00.00.000000,,,PERSONAL SERVICE,APPROVED,HYPNOSIS,1819991012120552730000,EPSOM DR,,000-764-051
10033,CRAFT-D COLLARS,,37840C090423140216570000,"920 WESTING RD
VICTORIA BC  V9A 2G5",2010,2010-01-01-00.00.00.000000,,,HOME CRAFTS,APPROVED,NOT APPLICABLE,1819991012130251230000,WESTING RD,,000-627-666
10034,YVA SUPPORT SERVICES,,38652C090424095734070000,"3034 COLQUITZ AVE
VICTORIA BC  V9A 2M3",2010,2010-01-01-00.00.00.000000,,,ADMINISTRATION OFFICE,APPROVED,NOT APPLICABLE,1819991012130018870000,COLQUITZ AVE,,018-049-028
10035,CEDARHILL ARBORIST COMPANY,,38652C090424100228330000,"3911 ASCOT DR
VICTORIA BC  V8P 3S2",2012,2012-01-01-00.00.00.000000,,,CONTRACTOR - INTERMUNICIPAL,APPROVED,ARBORIST/HORTICULTURE,1819991012120645670000,ASCOT DR,,006-009-492
10036,HUDSON & SAIGE ORGANICS LTD,,38652C090424101439060000,"1646 TAMPICO PL
VICTORIA BC  V8N 5H2",2010,2010-01-01-00.00.00.000000,,,IMPORTING/EXPORTING,APPROVED,NOT APPLICABLE,1819991012111447170000,TAMPICO PL,,001-763-229
