Legal_ID,LicenceNumber,BusinessName,CivicAddress,Description,Category,ApplicationDate,X,Y,GISLINK
118540,40360,KEG N CLEAVER RESTAURANT,350 ROBSON STREET NANAIMO BC,Restaurant/ Commercial Lease,Accommodation and Food Services,,49.1646755,-123.9393768,118540
112041,46330,CANTONESE VILLAGE,1601 BOWEN ROAD NANAIMO BC,Restaurant,Accommodation and Food Services,,49.1776236,-123.9731656,112041
114877,47770,BOLD KNIGHT RESTAURANT,1140 ISLAND HIGHWAY S NANAIMO BC,Restaurant,Accommodation and Food Services,,49.1343052,-123.9213974,114877
42241C080122100702180000,100385,COUSIN NICKS,21 FRONT STREET NANAIMO BC,Restaurant,Accommodation and Food Services,,49.1694913,-123.937886,100165
123627,100447,WELLINGTON HOTEL,3956 VICTORIA AVENUE NANAIMO BC,Pub  Liquor Store  Restaurant,Accommodation and Food Services,,49.2077104,-124.0140518,123627
1024719970314113141810000,100525,NANAIMO HORNETS RUGBY FOOTBALL CLUB,6700 DOVER ROAD NANAIMO BC,Cabaret,Accommodation and Food Services,,49.242937,-124.0549493,207091
121228,100627,LIGHTHOUSE BISTRO LTD THE,1 50 ANCHOR WAY NANAIMO BC,Pub  Restaurant,Accommodation and Food Services,,49.168564,-123.9354776,121228
119466,100635,COAST BASTION INN,11 BASTION STREET NANAIMO BC,Lounge  Pub  Motel  Restaurant  Meeting Rooms,Accommodation and Food Services,,49.1665912,-123.9360972,119466
BLCNV1057421462,100649,WINDWARD PUB,14 1588 BOUNDARY CRESCENT NANAIMO BC,Pub   Liquor Store,Accommodation and Food Services,,49.1826054,-123.9714991,105742
122843,100748,DAIRY QUEEN,3190 ISLAND HIGHWAY N NANAIMO BC,Restaurant,Accommodation and Food Services,,49.2049078,-124.0022634,122843
113401,101101,QUEENS HOTEL,34 VICTORIA CRESCENT NANAIMO BC,Lounge,Accommodation and Food Services,,49.1636696,-123.93558,113401
107111,101228,OCCIDENTAL HOTEL,432 FITZWILLIAM STREET NANAIMO BC,Pub  Meeting Room  Restaurant,Accommodation and Food Services,,49.1655142,-123.9427102,107111
BLCNV10238246532,106951,LIVING FOREST OCEANSIDE CAMPGROUND,46 6 MAKI ROAD NANAIMO BC,Camping Grounds,Accommodation and Food Services,,49.1331043,-123.9126238,102382
1994-12-20-09.51.22.300000,107157,TIM HORTONS,6892 ISLAND HIGHWAY N NANAIMO BC,Restaurant,Accommodation and Food Services,,49.2401099,-124.051773,121002
BLCNV12352510617,107390,SUBWAY SANDWICHES & SALADS,10 1100 PRINCESS ROYAL AVENUE NANAIMO BC,Restaurant,Accommodation and Food Services,,49.182231,-123.9524632,123525
